Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LCD_KB_Controller.PrjPcb|ReportField=ProjectFullPath~D:\Projects_Files\Projects\Altium_Projects\Petroline\LCD_KB_Controller\LCD_KB_Controller.PrjPcb|ReportField=Title~Bill of Materials For Project [LCD_KB_Controller.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~143|ReportField=ReportTime~10:49:29|ReportField=ReportDate~12.12.2016|ReportField=ReportDateTime~12.12.2016 10:49:29|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~12.12.2016|ReportField=CurrentTime~10:49:10|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Projects_Files\Projects\Altium_Projects\Petroline\LCD_KB_Controller\Battery.SchDoc|ReportField=DocumentName~Battery.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~16.11.2016|ReportField=Organization~|ReportField=ProjectName~LCD_KB_Controller.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~LCD_KB_Controller.PrjPcb|ReportField=DataSourceFullPath~D:\Projects_Files\Projects\Altium_Projects\Petroline\LCD_KB_Controller\LCD_KB_Controller.PrjPcb
1|0.1uF|CC0603|C1, C6, C7, C8, C13, C14, C15, C16, C18, C19, C20, C21, C22, C31, C34, C36, C37, C38, C39|CC0603|19
2|1uF|CC0603|C2, C3|CC0603|2
3|10uFx6.3V|CC0805|C4, C17, C32|CC0805|3
4|10nF|CC0603|C5|CC0603|1
5|22pF|CC0603|C9, C10|CC0603|2
6||CC0603|C11, C35|CC0603|2
7|220pF|CC0603|C12|CC0603|1
8|0.1 uF|CC0603|C23, C24, C27|CC0603|3
9|1000uFx6.3V|CAP0.35|C25|CC8X3.5|1
10|470uFx35V|CAP0.5(1)|C26|CC16X10_CAP0.5(1)(Primary)|1
11|10 nF|CC0603|C28|CC0603|1
12|330pF|CC0603|C29|CC0603|1
13|560pF|CC0603|C30|CC0603|1
14|10uF 6.3V|CC0805|C33|CC0805|1
15|BQ24070|BQ24070|DA1|P-PQFP-N20|1
16|TPS54260DGQ||DA2|S-PDSO-G10|1
17|AP2210K-ADJTRG1|300 mA, Low Voltage, Low Quiescent Current LDO Regulator, 5-Pin SOT-223, Extended Temperature, Tape and Reel|DA3|SOT23-5|1
18|SN65HVD234D|CAN Transceiver|DD1|SO-8|1
19|LPC1754FBD80|Cortex -M3 32-Bit Microcontroller, 128KB Flash, 64KB RAM, 800-Lead LQFP|DD2|TQFP-80_0.5|1
20|M25PE16|S25FL016A0LMFI01|DD3, DD4|EIAJ_SO8|2
21|SP485EEN|SP485|DD5|SO-8|1
22|ST232BD/CD|ST232BD/CD|DD6|SO16_M|1
23|MICROSMD010F-2|MICROSMD|FU1, FU2, FU3, FU4, FU5, FU6, FU8, FU9|RC1210|8
24|SL110-33|FSMD150-2920|FU7|FSMD2920|1
25|PLS-02|PLS-02|J1, J2|PLS-02|2
26|10uH|L0603|L1|L0603|1
27|15uH|SDR0805|L2|SDR0805|1
